h,euler_explicit,euler_implicit,euler_trapezium,euler_improved,runge_kutta_3rd,runge_kutta_4th,adams_monlton,adams_bashforth
0.01,0.199389648,3.893579102,3.191479492,0.398876953,0.498486328,0.797802734,22.0447998,1.19675293
0.005,0.39909668,6.683203125,6.183374023,0.797827148,1.097021484,1.495996094,43.6833252,2.393554688
0.001,1.996264648,29.11706543,30.41862793,4.089111328,5.485375977,7.830151367,197.6515381,14.06235352
0.0005,3.889575195,54.87087402,54.06862793,8.577001953,10.9706543,15.75786133,406.0815674,29.12207031
0.0002,10.27258301,143.0174561,132.257959,19.64763184,27.33054199,40.19226074,955.9131592,63.23076172
0.0001,24.43808594,290.3356445,232.636792,38.99562988,56.57814941,85.29304199,1956.909473,143.8662109
