Var1,Var2
-2.12,-716.632514212581
-2.1199,-668.387055328612
-2.1198,-626.008820019741
-2.1197,-588.613417230623
-2.1196,-555.443806366518
-2.1195,-525.856517741941
-2.1194,-501.163289578301
-2.1193,-477.06209096941
-2.1192,-455.142126921428
-2.1191,-435.142436071185
-2.119,-416.833590986505
-2.1189,-400.014773767975
-2.1188,-385.062396206782
-2.1187,-370.677423389273
-2.1186,-357.318730300348
-2.1185,-344.887612040616
-2.1184,-333.294930432085
-2.1183,-322.669645926298
-2.1182,-312.508914953714
-2.1181,-302.955958461824
-2.118,-293.963728484518
-2.1179,-285.488623241867
-2.1178,-277.490308674317
-2.1177,-270.079888211207
-2.1176,-262.90700595015
-2.1175,-256.087525771231
-2.1174,-249.60018684695
-2.1173,-243.42486987506
-2.1172,-237.54255460251
-2.1171,-231.935278126829
-2.117,-226.586093974044
-2.1169,-221.479031953981
-2.1168,-216.599058792146
-2.1167,-211.932039538963
-2.1166,-207.46469975561
-2.1165,-203.69128374573
-2.1164,-199.574584630702
-2.1163,-195.614185173481
-2.1162,-191.802839669263
-2.1161,-188.133600995986
-2.116,-184.599812124657
-2.1159,-181.195097747317
-2.1158,-177.913356022225
-2.1157,-174.748750436454
-2.1156,-171.695701786001
-2.1155,-168.74888027309
-2.1154,-165.903197721075
-2.1153,-163.403760868095
-2.1152,-160.732157850938
-2.1151,-158.139609801313
-2.115,-155.623376897073
-2.1149,-153.180802192625
-2.1148,-150.809309895602
-2.1147,-148.506403660885
-2.1146,-146.269664902308
-2.1145,-144.096751121729
-2.1144,-141.985394255763
-2.1143,-139.933399039894
-2.1142,-137.938641390249
-2.1141,-135.999066802746
-2.114,-134.112688769905
-2.1139,-132.277587215038
-2.1138,-130.491906944083
-2.1137,-128.75385611488
-2.1136,-127.061704723963
-2.1135,-125.413783110944
-2.1134,-123.808480480313
-2.1133,-122.24424344087
-2.1132,-120.719574562554
-2.1131,-119.233030950916
-2.113,-117.783222838994
-2.1129,-116.368812196812
-2.1128,-114.988511358302
-2.1127,-114.354890041007
-2.1126,-113.035666505205
-2.1125,-111.745029644386
-2.1124,-110.482209137763
-2.1123,-109.246453509913
-2.1122,-108.037029807492
-2.1121,-106.853223278774
-2.112,-105.694337055855
-2.1119,-104.559691839674
-2.1118,-103.448625587722
-2.1117,-102.360493204503
-2.1116,-101.294666234781
-2.1115,-100.250532559494
-2.1114,-99.2274960944984
-2.1113,-98.2249764919687
-2.1112,-97.2424088446221
-2.1111,-96.2792433926098
-2.111,-95.3349452332234
-2.1109,-94.4089940332746
-2.1108,-93.5008837442852
-2.1107,-92.6101223203539
-2.1106,-91.7362314388312
-2.1105,-90.8787462236727
-2.1104,-90.0372149715987
-2.1103,-89.2111988809343
-2.1102,-88.5662372913284
-2.1101,-87.7695219575681
-2.11,-86.9862989232548
-2.1099,-86.2162846015926
-2.1098,-85.4592008045091
