t,y with h=0.01,y with h=0.005,y with h=0.001
-1.74,-1.4176601684216383,-1.376833490399778,-1.3537709578236203
-1.73,-1.342626978553605,-1.304619321942161,-1.283585770321403
-1.72,-1.2714506960501484,-1.23600171693643,-1.2168053329910273
-1.71,-1.2038376123319297,-1.1707166771521174,-1.153187453577077
-1.7,-1.1395237133494596,-1.1085258832656402,-1.0925127306922335
-1.69,-1.07827099197187,-1.049213631411899,-1.034581926774041
-1.68,-1.0199585500607589,-0.9925841988087049,-0.9792136962271348
-1.67,-0.9642846760113727,-0.9384595698562909,-0.9262426139668296
-1.66,-0.9110738855781917,-0.8866774663789917,-0.8755174590267547
-1.65,-0.860166271189538,-0.8370896355262225,-0.8268997155464446
-1.64,-0.8114157986807068,-0.7895603568024004,-0.7802622596849426
-1.63,-0.7646888232710937,-0.7439651361483307,-0.7354882061015414
-1.6199999999999999,-0.7198627924958015,-0.7001895602577618,-0.692469891829975
-1.6099999999999999,-0.6768251091314826,-0.6581282886220521,-0.651107978824653
-1.5999999999999999,-0.6354721315150199,-0.6176841643409089,-0.611310659316799
-1.59,-0.5957082922346683,-0.5787674276657154,-0.5729929504956115
-1.58,-0.5574453191277952,-0.5412950186709776,-0.5360760670134685
-1.57,-0.5206015449669336,-0.5051899574718693,-0.5004868614757063
-1.56,-0.4851012942513961,-0.4703807920960027,-0.466157324471817
-1.55,-0.45087433722091325,-0.4368011055350119,-0.43302413688222174
-1.54,-0.4178554026313216,-0.40438907469436414,-0.40102826819058934
-1.53,-0.3859837420290864,-0.37308707496689275,-0.3701146153765527
-1.52,-0.355202739270875,-0.34284132500849007,-0.3402316776826194
-1.51,-0.3254595598885498,-0.31360156701899494,-0.31133126316258825
-1.5,-0.29670483562494016,-0.285320778448674,-0.28336822344377655
-1.49,-0.268892380082933,-0.2579549115781882,-0.25630021358579735
-1.48,-0.2419789319573376,-0.2314626578718657,-0.23008747430608315
-1.47,-0.21592392277006917,-0.20580523439231602,-0.20469263417646322
-1.46,-0.1906892664164033,-0.1809461898987505,-0.1800805296839063
-1.45,-0.16623916816328396,-0.15685122854000902,-0.1562180412987603
-1.44,-0.1425399510281578,-0.13348804930306973,-0.1330739439110991
-1.43,-0.11955989771543586,-0.11082619959447015,-0.11061877018487448
-1.42,-0.0972691065032038,-0.0888369415204051,-0.08882468554447076
-1.41,-0.07563935966004555,-0.06749312959534456,-0.06766537365236446
-1.4,-0.05464400313487688,-0.04676909875225875,-0.04711593136276978
-1.39,-0.03425783640493903,-0.02664056165284638,-0.027152772246850754
-1.38,-0.014457011491479443,-0.007084514405999245,-0.007753537882380892
-1.3699999999999999,0.004781059738387997,0.011920850100804922,0.011102983813589465
-1.3599999999999999,0.023477790769503338,0.03039622196762031,0.02943693385491821
-1.3499999999999999,0.04165349883790605,0.04836124778129462,0.047267451638482685
-1.3399999999999999,0.059327477159141204,0.06583459841745495,0.0646127390981766
-1.33,0.07651806154785282,0.08283403165637562,0.08149012002834234
-1.32,0.09324269193306114,0.09937645007212513,0.09791609499765017
-1.31,0.1095179692223058,0.11547795460845739,0.11390639223304513
-1.3,0.12535970792240628,0.13115389421408805,0.1294760148165173
-1.29,0.14078298488422783,0.14632065990875157,0.14463928450456554
-1.28,0.15580218450292355,0.16099855686947762,0.15940988245085025
-1.27,0.17043104067311451,0.17530087382651297,0.17380088708625197
-1.26,0.18468267576990233,0.18923989736282798,0.18782480938701576
-1.25,0.1985696369010752,0.2028273942405915,0.20149362574054824
-1.24,0.21210392965301675,0.21607464094727913,0.21481880859947358
-1.23,0.22529704953234503,0.2289924512977048,0.22781135509750372
-1.22,0.2381600112869298,0.24159120224130656,0.24048181378532738
-1.21,0.25070337627341904,0.25388085801109905,0.2528403096308834
-1.2,0.262937278023547,0.2658709927390325,0.26489656741589546
-1.19,0.27487144614810877,0.27757081165193964,0.27665993364926084
-1.18,0.2865152287054145,0.28898917095269017,0.28813939710767844
-1.17,0.29787761315013406,0.3001345964825019,0.2993436081046594
