t,y with h=0.01,y with h=0.005,y with h=0.001
-3.0,,,
-2.99,,,
-2.98,,,
-2.97,,,
-2.96,,,
-2.95,,,
-2.94,,,
-2.93,,,
-2.92,,,
-2.91,,,
-2.9,,,
-2.89,,,
-2.88,,,
-2.87,,,
-2.86,,,
-2.85,,,
-2.84,,,
-2.83,,,
-2.82,,,
-2.81,,,
-2.8,,,
-2.79,,,
-2.78,,,
-2.77,,,
-2.76,,,
-2.75,,,
-2.74,,,
-2.73,,,
-2.7199999999999998,,,
-2.71,,,
-2.7,,,
-2.69,,,
-2.68,,,
-2.67,,,
-2.66,,,
-2.65,,,
-2.64,,,
-2.63,,,
-2.62,,,
-2.61,,,
-2.6,,,
-2.59,,,
-2.58,,,
-2.57,,,
-2.56,,,
-2.55,,,
-2.54,,,
-2.53,,,
-2.52,,,
-2.51,,,
-2.5,,,
-2.49,,,
-2.48,,,
-2.4699999999999998,,,
-2.46,,,
-2.45,,,
-2.44,,,
-2.4299999999999997,,,
-2.42,,,
-2.41,,,
-2.4,,,
-2.39,,,
-2.38,,,
-2.37,,,
-2.36,,,
-2.35,,,
-2.34,,,
-2.33,,,
-2.32,,,
-2.31,,,
-2.3,,,
-2.29,,,
-2.2800000000000002,,,
-2.27,,,
-2.26,,,
-2.25,,,
-2.24,,,
-2.23,,,
-2.2199999999999998,,,
-2.21,,,
-2.2,,,
-2.19,,,
-2.1799999999999997,,,
-2.17,,,
-2.16,,,
-2.15,,,
-2.14,-1.336555422181488e+145,,
-2.13,-165875076203.64197,-7.281370138462831e+121,
-2.12,-611.5146583939842,-953.2568831750104,-1481.7279451775635
-2.11,-92.2092714203565,-92.702777031702,-92.75320422135428
-2.1,-47.30094572067752,-47.32780819367794,-47.32992480593267
-2.09,-31.529121706593568,-31.533252733014926,-31.533553198969155
-2.08,-23.502796779550685,-23.503834265157046,-23.5039070806696
-2.07,-18.641242225685094,-18.641588132250142,-18.64161194022377
-2.06,-15.380106764257837,-15.3802452991599,-15.38025471804596
-2.05,-13.040105211870491,-13.040168244125043,-13.040172493207265
-2.04,-11.2787246983271,-11.278756182347468,-11.278758291036835
-2.0300000000000002,-9.904549902840296,-9.904566781348416,-9.904567905875155
-2.02,-8.802222788204643,-8.80223234843653,-8.802232982488118
-2.01,-7.898080850995612,-7.898086507194518,-7.898086880764515
-2.0,-7.142880116494531,-7.142883581803826,-7.142883809762488
-1.99,-6.502451222607077,-6.502453406181216,-6.5024535492517765
-1.98,-5.952341040902427,-5.9523424482388,-5.952342540068717
-1.97,-5.4745881853393765,-5.474589108749063,-5.4745891687356165
-1.96,-5.055702709379632,-5.055703323638122,-5.0557033633460575
-1.95,-4.685356082095227,-4.685356494742526,-4.685356521268408
-1.94,-4.355506238737498,-4.3555065176032715,-4.355506535411405
-1.93,-4.059797972478462,-4.059798161275572,-4.059798173235474
-1.92,-3.793142615906405,-3.7931427433379605,-3.7931427513288765
-1.91,-3.551417436698104,-3.551417521921269,-3.551417527194063
-1.9,-3.33124677071071,-3.331246826694114,-3.3312468300931757
-1.89,-3.129840087147475,-3.1298401227788393,-3.1298401248811203
-1.88,-2.9448704261811876,-2.944870447616016,-2.944870448819822
-1.8699999999999999,-2.7743819345252447,-2.774381946064896,-2.7743819466475776
-1.8599999999999999,-2.616718684731058,-2.61671868940339,-2.6167186895594274
-1.8499999999999999,-2.4704692736668017,-2.470469273615584,-2.4704692734820717
-1.84,-2.334423264660607,-2.334423261410045,-2.3344232610839732
-1.83,-2.2075366209861422,-2.207536615622645,-2.2075366151727485
-1.82,-2.088904037318442,-2.0889040306168454,-2.0889040300918156
-1.81,-1.977736614865651,-1.9777366073777005,-1.9777366068119258
-1.8,-1.873343713656513,-1.8733437057734212,-1.8733437051910389
-1.79,-1.7751180976920053,-1.775118089689021,-1.7751180891067941
-1.78,-1.6825236963352113,-1.6825236884035903,-1.6825236878329681
-1.77,-1.5950854596798794,-1.5950854519499542,-1.5950854513985548
-1.76,-1.5123809014834695,-1.5123808940413865,-1.512380893514068
-1.75,-1.4340330109673631,-1.434033003867276,-1.4340330033669118
-1.74,-1.359704281764725,-1.3597042750377122,-1.3597042745657621
-1.73,-1.2890916578439988,-1.2890916515046018,-1.289091651061521
-1.72,-1.2219222362043993,-1.2219222302554271,-1.221922229840971
-1.71,-1.157949597348701,-1.15794959178476,-1.1579495913982059
-1.7,-1.0969506590704003,-1.0969506538804914,-1.0969506535207978
-1.69,-1.0387229684974273,-1.0387229636668507,-1.0387229633327766
-1.68,-0.9830823627763844,-0.9830823582881316,-0.983082357978321
-1.67,-0.9298609411392575,-0.9298609369750261,-0.9298609366880694
-1.66,-0.8789053010381207,-0.8789052971790448,-0.878905296913522
-1.65,-0.8300749990754972,-0.83007499550267,-0.8300749952571815
-1.64,-0.7832412039943687,-0.7832412006892089,-0.7832412004623965
-1.63,-0.7382855143292048,-0.7382855112737066,-0.7382855110642663
-1.6199999999999999,-0.6950989176973147,-0.6950989148742128,-0.6950989146809047
-1.6099999999999999,-0.653580872316173,-0.6535808697090454,-0.6535808695306968
-1.5999999999999999,-0.6136384943153415,-0.6136384919086644,-0.6136384917441735
-1.59,-0.5751858368886626,-0.5751858346678342,-0.5751858345161697
-1.58,-0.5381432493971297,-0.5381432473484673,-0.5381432472086657
-1.57,-0.5024368062600924,-0.5024368043708157,-0.5024368042419807
-1.56,-0.46799779692246707,-0.46799779518066714,-0.4679977950619659
-1.55,-0.43476226940692475,-0.4347622678015272,-0.43476226769218757
-1.54,-0.4026706209920591,-0.4026706195127821,-0.4026706194120889
-1.53,-0.37166723043230204,-0.37166722906961186,-0.371667228976903
-1.52,-0.3417001268790564,-0.34170012562412166,-0.3417001255387852
-1.51,-0.31272069129660834,-0.3127206901412553,-0.3127206900627259
-1.5,-0.28468338670853166,-0.2846833856451997,-0.2846833855729554
-1.49,-0.25754551407507364,-0.25754551309677265,-0.25754551303033146
-1.48,-0.23126699100150344,-0.23126699010177304,-0.23126699004069015
-1.47,-0.20581015082163417,-0.20581014999450517,-0.20581014993837024
-1.46,-0.18113955989807112,-0.18113955913802898,-0.18113955908646323
-1.45,-0.1572218512381758,-0.15722185054012647,-0.15722185049278042
-1.44,-0.13402557274813526,-0.13402557210737306,-0.1340255720639242
-1.43,-0.11152104864181575,-0.11152104805399402,-0.11152104801414477
-1.42,-0.08968025269041348,-0.0896802521515166,-0.08968025211499221
-1.41,-0.06847669214680269,-0.06847669165312065,-0.06847669161966748
-1.4,-0.0478853013079037,-0.04788530085600825,-0.04788530082539226
-1.39,-0.027882343791871805,-0.027882343378594656,-0.027882343350599616
-1.38,-0.008445322706598951,-0.008445322329011497,-0.008445322303437695
-1.3699999999999999,0.010447102026241386,0.010447102370846735,0.010447102394183809
-1.3599999999999999,0.028815189850017804,0.028815190164144817,0.028815190185415677
-1.3499999999999999,0.04667818984492059,0.04667819013088507,0.04667819015024735
-1.3399999999999999,0.06405440562233758,0.06405440588228194,0.06405440589988139
-1.33,0.08096125531789958,0.08096125555380632,0.08096125556977771
-1.32,0.09741532711172296,0.09741532732542697,0.09741532733989496
-1.31,0.1134324306621096,0.11343243085530963,0.11343243086838957
-1.3,0.12902764480133297,0.12902764497560204,0.12902764498740069
-1.29,0.14421536180858374,0.1442153619653788,0.14421536197599508
-1.28,0.15900932854518723,0.15900932868585796,0.15900932869538342
-1.27,0.17342268471041156,0.17342268483620862,0.17342268484472803
-1.26,0.18746799845219642,0.18746799856427904,0.18746799857187088
-1.25,0.20115729954562137,0.20115729964506415,0.20115729965180126
-1.24,0.21450211033262104,0.21450211042042028,0.2145021104263702
-1.23,0.22751347459909435,0.22751347467617405,0.22751347468139918
-1.22,0.2402019845499306,0.24020198461714784,0.24020198462170622
-1.21,0.2525778060283941,0.2525778060865439,0.25257780609048924
-1.2,0.2646507021136053,0.2646507021634254,0.2646507021668078
-1.19,0.27643005521838326,0.2764300552605583,0.27643005526342396
-1.18,0.2879248877993351,0.28792488783450054,0.28792488783689213
-1.17,0.2991438817816882,0.2991438818104336,0.2991438818123911
-1.16,0.3100953967928444,0.3100953968157173,0.3100953968172776
-1.15,0.3207874872909166,0.320787487308425,0.3207874873096225
-1.14,0.33122791866748935,0.33122791868010515,0.3312279186809717
-1.13,0.3414241823974758,0.34142418240563716,0.3414241824062024
-1.1199999999999999,0.3513835103031357,0.35138351030724946,0.35138351030754084
-1.1099999999999999,0.36111288799403923,0.3611128879944832,0.36111288799452596
-1.0999999999999999,0.370619067539943,0.3706190675370676,0.3706190675368856
-1.0899999999999999,0.37990857942914746,0.3799085794232784,0.3799085794228936
-1.08,0.3889877438608931,0.3889877438523326,0.3889877438517655
-1.07,0.3978626814166803,0.39786268140570896,0.39786268140497855
-1.06,0.40653932315204216,0.4065393231389203,0.40653932313804386
-1.05,0.4150234201472248,0.4150234201321942,0.41502342013118787
-1.04,0.4233205525524142,0.42332055253569895,0.423320552534578
-1.03,0.43143613816056287,0.43143613814237086,0.4314361381411493
-1.02,0.43937544053850247,0.4393754405190266,0.43937544051771765
-1.01,0.44714357674484884,0.44714357672426785,0.44714357672288346
-1.0,0.4547455246612059,0.4547455246396855,0.4547455246382368
-0.9899999999999998,0.4621861299613351,0.46218612993902886,0.46218612993752595
-0.98,0.4694701127412643,0.4694701127183141,0.4694701127167668
-0.9699999999999998,0.47660207383174885,0.4766020738082863,0.4766020738067033
-0.96,0.4835865008130638,0.48358650078921045,0.4835865007876002
-0.9500000000000002,0.49042777375078084,0.4904277737266489,0.4904277737250187
-0.94,0.49713017066996074,0.49713017064565407,0.4971301706440109
-0.9300000000000002,0.5036978727840691,0.5036978727596835,0.5036978727580339
-0.9199999999999999,0.5101349694938785,0.5101349694695021,0.5101349694678519
-0.9100000000000001,0.516445463170663,0.516445463146377,0.5164454631447313
-0.8999999999999999,0.5226332737371009,0.5226332737129802,0.5226332737113442
-0.8900000000000001,0.5287022430584848,0.528702243034598,0.5287022430329762
-0.8799999999999999,0.5346561391560755,0.5346561391324854,0.5346561391308823
-0.8700000000000001,0.5404986602537408,0.5404986602305051,0.5404986602289246
-0.8599999999999999,0.5462334386683698,0.5462334386455409,0.5462334386439865
-0.8500000000000001,0.5518640445539531,0.5518640445315789,0.551864044530054
-0.8399999999999999,0.557393989508671,0.5573939894867951,0.5573939894853029
-0.8300000000000001,0.5628267300538153,0.5628267300324773,0.5628267300310202
-0.8199999999999998,0.5681656709929,0.5681656709721358,0.568165670970716
-0.81,0.573414168658881,0.5734141686387222,0.573414168637342
-0.7999999999999998,0.5785755340569996,0.5785755340374752,0.5785755340361365
-0.79,0.5836530359103982,0.5836530358915337,0.5836530358902378
-0.7799999999999998,0.5886499036153084,0.5886499035971268,0.5886499035958757
-0.77,0.5935693301123034,0.5935693300948243,0.5935693300936192
-0.7599999999999998,0.5984144746798139,0.5984144746630548,0.5984144746618969
-0.75,0.6031884656558457,0.6031884656398213,0.6031884656387115
-0.7399999999999998,0.6078944030935906,0.6078944030783135,0.6078944030772528
-0.73,0.6125353613564077,0.6125353613418886,0.6125353613408777
-0.7199999999999998,0.6171143916574473,0.6171143916436946,0.617114391642734
-0.71,0.6216345245490104,0.6216345245360304,0.6216345245351207
-0.6999999999999997,0.6260987723665747,0.6260987723543722,0.6260987723535134
-0.69,0.630510131632273,0.6305101316208507,0.6305101316200432
-0.6800000000000002,0.6348715854224778,0.6348715854118371,0.6348715854110809
-0.6699999999999999,0.6391861057040402,0.639186105694181,0.639186105693476
-0.6600000000000001,0.6434566556436262,0.6434566556345468,0.6434566556338929
-0.6499999999999999,0.6476861918945173,0.6476861918862149,0.6476861918856116
-0.6400000000000001,0.6518776668651727,0.6518776668576429,0.6518776668570906
-0.6299999999999999,0.6560340309737955,0.6560340309670327,0.6560340309665307
-0.6200000000000001,0.6601582348931088,0.6601582348871059,0.6601582348866536
-0.6099999999999999,0.6642532317895187,0.6642532317842681,0.6642532317838651
-0.6000000000000001,0.6683219795608343,0.6683219795563271,0.6683219795559727
-0.5899999999999999,0.6723674430767075,0.6723674430729334,0.6723674430726274
-0.5800000000000001,0.6763925964259802,0.6763925964229285,0.6763925964226701
-0.5699999999999998,0.6804004251751494,0.6804004251728083,0.6804004251725966
-0.56,0.6843939286422035,0.68439392864056,0.684393928640394
-0.5499999999999998,0.6883761221901408,0.6883761221891812,0.68837612218906
-0.54,0.6923500395445527,0.6923500395442623,0.6923500395441848
-0.5299999999999998,0.6963187351397365,0.6963187351400999,0.6963187351400651
-0.52,0.700285286497906,0.7002852864989068,0.700285286498914
-0.5099999999999998,0.7042527966461811,0.7042527966478019,0.7042527966478499
-0.5,0.7082243965761726,0.7082243965783959,0.7082243965784832
-0.48999999999999977,0.7122032477511253,0.7122032477539323,0.7122032477540577
-0.48,0.7161925446657477,0.7161925446691187,0.7161925446692812
-0.46999999999999975,0.720195517464044,0.720195517467959,0.7201955174681572
-0.45999999999999996,0.7242154346206673,0.7242154346251052,0.7242154346253374
-0.44999999999999973,0.7282556056915349,0.7282556056964741,0.7282556056967394
-0.43999999999999995,0.7323193841396968,0.7323193841451148,0.7323193841454114
-0.43000000000000016,0.7364101702427137,0.7364101702485873,0.7364101702489141
-0.41999999999999993,0.7405314140880978,0.7405314140944035,0.7405314140947588
-0.41000000000000014,0.7446866186636847,0.7446866186703979,0.7446866186707797
-0.3999999999999999,0.7488793430501564,0.7488793430572519,0.7488793430576588
-0.3900000000000001,0.7531132057233089,0.7531132057307606,0.7531132057311908
-0.3799999999999999,0.7573918879740673,0.7573918879818485,0.7573918879823006
-0.3700000000000001,0.7617191374546941,0.7617191374627775,0.76171913746325
-0.3599999999999999,0.7660987718601162,0.7660987718684742,0.7660987718689642
-0.3500000000000001,0.7705346827538131,0.7705346827624169,0.7705346827629233
-0.33999999999999986,0.7750308395482715,0.7750308395570918,0.775030839557612
-0.33000000000000007,0.7795912936506175,0.779591293659625,0.7795912936601572
-0.31999999999999984,0.7842201827846966,0.7842201827938607,0.784220182794403
-0.31000000000000005,0.7889217355015771,0.7889217355108666,0.7889217355114173
-0.2999999999999998,0.7937002758912265,0.79370027590061,0.7937002759011667
-0.29000000000000004,0.7985602285089389,0.7985602285183843,0.7985602285189448
-0.2799999999999998,0.8035061235309906,0.8035061235404654,0.8035061235410281
-0.27,0.8085426021549766,0.8085426021644477,0.8085426021650104
-0.2599999999999998,0.8136744222613352,0.8136744222707694,0.8136744222713296
-0.25,0.8189064643537087,0.8189064643630721,0.8189064643636284
-0.23999999999999977,0.8242437377970295,0.8242437378062887,0.8242437378068385
-0.22999999999999998,0.8296913873735613,0.8296913873826824,0.8296913873832233
-0.21999999999999975,0.8352547001785825,0.8352547001875315,0.8352547001880614
-0.20999999999999996,0.8409391128789798,0.840939112887723,0.8409391128882395
-0.19999999999999973,0.8467502193597406,0.8467502193682444,0.8467502193687461
-0.18999999999999995,0.8526937787851933,0.8526937787934246,0.852693778793909
-0.18000000000000016,0.8587757241038803,0.8587757241118066,0.8587757241122717
-0.16999999999999993,0.8650021710281554,0.8650021710357451,0.8650021710361889
-0.16000000000000014,0.8713794275220017,0.8713794275292243,0.871379427529645
-0.1499999999999999,0.8779140038331905,0.8779140038400169,0.8779140038404131
-0.14000000000000012,0.8846126231087583,0.8846126231151611,0.8846126231155307
-0.1299999999999999,0.8914822326359017,0.8914822326418559,0.8914822326421974
-0.1200000000000001,0.8985300157537986,0.8985300157592815,0.8985300157595937
