Var1,Var2
-2.12,-710.739937510938
-2.119,-414.803078757931
-2.118,-292.658620980697
-2.117,-226.208856474861
-2.116,-184.18060000553
-2.115,-154.902609006623
-2.114,-134.314570506409
-2.113,-118.093059109728
-2.112,-105.528177216115
-2.111,-95.2191319474815
-2.11,-86.8233060478267
-2.109,-79.6469979077962
-2.108,-73.536269549909
-2.107,-68.2908897345989
-2.106,-64.066491527536
-2.105,-60.068078332748
-2.104,-56.5249865511724
-2.103,-53.3704336318934
-2.102,-50.54707003708
-2.101,-48.0842831061802
-2.1,-45.7710077575213
-2.099,-43.6644742402127
-2.098,-41.740669402545
-2.097,-40.0226643204702
-2.096,-38.3894888615799
-2.095,-36.8751648947542
-2.094,-35.4691761995459
-2.093,-34.1618540297388
-2.092,-32.9443286667062
-2.091,-31.8084823547241
-2.09,-30.7469036182506
-2.089,-29.7528429611644
-2.088,-28.8201699479647
-2.087,-28.0858568111661
-2.086,-27.2556455614152
-2.085,-26.4702427567022
-2.084,-25.7265414562515
-2.083,-25.0216382395958
-2.082,-24.3528235893095
-2.081,-23.7175725026497
-2.08,-23.1135353321065
-2.079,-22.5385288548592
-2.078,-22.0262317807415
-2.077,-21.502415721641
-2.076,-21.0011196020575
-2.075,-20.5211173190581
-2.074,-20.0612447437471
-2.073,-19.6203974936663
-2.072,-19.197528744746
-2.071,-18.7916470828024
-2.07,-18.4018143945856
-2.069,-18.0271437983764
-2.068,-17.6850881449683
-2.067,-17.3371088703615
-2.066,-17.0010892403875
-2.065,-16.6765269603449
-2.064,-16.3629388026779
-2.063,-16.0598601004513
-2.062,-15.7668442474464
-2.061,-15.4834622048726
-2.06,-15.2093020146986
-2.059,-14.9439683196011
-2.058,-14.6870818895317
-2.057,-14.4382791549021
-2.056,-14.1972117463877
-2.055,-13.9635460413481
-2.054,-13.7369627168675
-2.053,-13.5171563094117
-2.052,-13.3038347811045
-2.051,-13.0967190926209
-2.05,-12.8955427826997
-2.049,-12.745589294418
-2.048,-12.5552909985897
-2.047,-12.3699392748375
-2.046,-12.1893710803629
-2.045,-12.0134283275175
-2.044,-11.8419577774628
-2.043,-11.6748109349599
-2.042,-11.5118439442911
-2.041,-11.3529174863131
-2.04,-11.1978966766408
-2.039,-11.0466509649622
-2.038,-10.8990540354853
-2.037,-10.7549837085156
-2.036,-10.6143218431648
-2.035,-10.4769542411913
-2.034,-10.342770551971
-2.033,-10.2116641786003
